case,ga_days,ac_mm,hc_mm,fl_mm,bpd_mm,sex,race,fgps_efw_g,fgps_who,fgps_nichd,fgps_intergrowth,fgps_hadlock,compare_who,compare_nichd,compare_intergrowth,compare_hadlock,note
no_bpd,154,167.8,192.1,36.9,,female,white,444.3,33.0,27.6,37.2,29.2,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,167.8,192.1,36.9,,male,white,444.3,20.2,27.6,37.2,29.2,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,167.8,192.1,36.9,,combined,white,444.3,26.0,27.6,37.2,29.2,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,167.8,192.1,36.9,,female,black,444.3,33.0,35.1,37.2,29.2,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,167.8,192.1,36.9,,male,black,444.3,20.2,35.1,37.2,29.2,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,167.8,192.1,36.9,,combined,black,444.3,26.0,35.1,37.2,29.2,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,167.8,192.1,36.9,,female,hispanic,444.3,33.0,36.8,37.2,29.2,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,167.8,192.1,36.9,,male,hispanic,444.3,20.2,36.8,37.2,29.2,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,167.8,192.1,36.9,,combined,hispanic,444.3,26.0,36.8,37.2,29.2,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,167.8,192.1,36.9,,female,asian,444.3,33.0,41.4,37.2,29.2,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,167.8,192.1,36.9,,male,asian,444.3,20.2,41.4,37.2,29.2,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,167.8,192.1,36.9,,combined,asian,444.3,26.0,41.4,37.2,29.2,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,173.0,198.0,38.0,,female,white,480.5,61.8,50.8,67.5,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,173.0,198.0,38.0,,male,white,480.5,45.1,50.8,67.5,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,173.0,198.0,38.0,,combined,white,480.5,53.1,50.8,67.5,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,173.0,198.0,38.0,,female,black,480.5,61.8,57.8,67.5,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,173.0,198.0,38.0,,male,black,480.5,45.1,57.8,67.5,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,173.0,198.0,38.0,,combined,black,480.5,53.1,57.8,67.5,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,173.0,198.0,38.0,,female,hispanic,480.5,61.8,57.4,67.5,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,173.0,198.0,38.0,,male,hispanic,480.5,45.1,57.4,67.5,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,173.0,198.0,38.0,,combined,hispanic,480.5,53.1,57.4,67.5,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,173.0,198.0,38.0,,female,asian,480.5,61.8,62.2,67.5,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,173.0,198.0,38.0,,male,asian,480.5,45.1,62.2,67.5,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,173.0,198.0,38.0,,combined,asian,480.5,53.1,62.2,67.5,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,178.2,203.9,39.1,,female,white,519.2,84.8,72.3,88.5,75.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,178.2,203.9,39.1,,male,white,519.2,73.0,72.3,88.5,75.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,178.2,203.9,39.1,,combined,white,519.2,78.0,72.3,88.5,75.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,178.2,203.9,39.1,,female,black,519.2,84.8,80.3,88.5,75.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,178.2,203.9,39.1,,male,black,519.2,73.0,80.3,88.5,75.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,178.2,203.9,39.1,,combined,black,519.2,78.0,80.3,88.5,75.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,178.2,203.9,39.1,,female,hispanic,519.2,84.8,77.3,88.5,75.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,178.2,203.9,39.1,,male,hispanic,519.2,73.0,77.3,88.5,75.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,178.2,203.9,39.1,,combined,hispanic,519.2,78.0,77.3,88.5,75.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,178.2,203.9,39.1,,female,asian,519.2,84.8,83.1,88.5,75.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,178.2,203.9,39.1,,male,asian,519.2,73.0,83.1,88.5,75.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,154,178.2,203.9,39.1,,combined,asian,519.2,78.0,83.1,88.5,75.4,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,172.8,197.0,37.9,,female,white,477.5,59.6,49.0,38.0,28.5,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,172.8,197.0,37.9,,male,white,477.5,42.8,49.0,38.0,28.5,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,172.8,197.0,37.9,,combined,white,477.5,51.0,49.0,38.0,28.5,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,172.8,197.0,37.9,,female,black,477.5,59.6,56.1,38.0,28.5,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,172.8,197.0,37.9,,male,black,477.5,42.8,56.1,38.0,28.5,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,172.8,197.0,37.9,,combined,black,477.5,51.0,56.1,38.0,28.5,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,172.8,197.0,37.9,,female,hispanic,477.5,59.6,55.9,38.0,28.5,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,172.8,197.0,37.9,,male,hispanic,477.5,42.8,55.9,38.0,28.5,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,172.8,197.0,37.9,,combined,hispanic,477.5,51.0,55.9,38.0,28.5,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,172.8,197.0,37.9,,female,asian,477.5,59.6,60.5,38.0,28.5,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,172.8,197.0,37.9,,male,asian,477.5,42.8,60.5,38.0,28.5,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,172.8,197.0,37.9,,combined,asian,477.5,51.0,60.5,38.0,28.5,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,178.1,203.1,39.1,,female,white,517.8,84.1,71.6,68.2,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,178.1,203.1,39.1,,male,white,517.8,72.0,71.6,68.2,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,178.1,203.1,39.1,,combined,white,517.8,77.4,71.6,68.2,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,178.1,203.1,39.1,,female,black,517.8,84.1,79.4,68.2,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,178.1,203.1,39.1,,male,black,517.8,72.0,79.4,68.2,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,178.1,203.1,39.1,,combined,black,517.8,77.4,79.4,68.2,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,178.1,203.1,39.1,,female,hispanic,517.8,84.1,76.6,68.2,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,178.1,203.1,39.1,,male,hispanic,517.8,72.0,76.6,68.2,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,178.1,203.1,39.1,,combined,hispanic,517.8,77.4,76.6,68.2,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,178.1,203.1,39.1,,female,asian,517.8,84.1,82.3,68.2,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,178.1,203.1,39.1,,male,asian,517.8,72.0,82.3,68.2,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,178.1,203.1,39.1,,combined,asian,517.8,77.4,82.3,68.2,51.9,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,183.5,209.2,40.2,,female,white,560.1,95.6,92.1,89.0,75.6,0,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with; WHO comparison excluded: EFW outside the tabulated centile band, where FetalGPSX and FetalGPSR disagree with each other"
no_bpd,157,183.5,209.2,40.2,,male,white,560.1,89.7,92.1,89.0,75.6,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,183.5,209.2,40.2,,combined,white,560.1,92.2,92.1,89.0,75.6,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,183.5,209.2,40.2,,female,black,560.1,95.6,95.3,89.0,75.6,0,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with; WHO comparison excluded: EFW outside the tabulated centile band, where FetalGPSX and FetalGPSR disagree with each other"
no_bpd,157,183.5,209.2,40.2,,male,black,560.1,89.7,95.3,89.0,75.6,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,183.5,209.2,40.2,,combined,black,560.1,92.2,95.3,89.0,75.6,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,183.5,209.2,40.2,,female,hispanic,560.1,95.6,93.4,89.0,75.6,0,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with; WHO comparison excluded: EFW outside the tabulated centile band, where FetalGPSX and FetalGPSR disagree with each other"
no_bpd,157,183.5,209.2,40.2,,male,hispanic,560.1,89.7,93.4,89.0,75.6,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
no_bpd,157,183.5,209.2,40.2,,combined,hispanic,560.1,92.2,93.4,89.0,75.6,1,1,1,1,"three-parameter formula; matches what WHO, NICHD and INTERGROWTH pair with"
