case,ga_days,ac_mm,hc_mm,fl_mm,bpd_mm,fgps_efw_g,fgps_efw_formula,fgps_efw_intergrowth_g
no_bpd,154,167.8,192.1,36.9,,444.3,hadlock_hc_ac_fl,512.8
with_bpd,154,167.8,192.1,36.9,51.4,446.4,hadlock_bpd_hc_ac_fl,512.8
no_bpd,154,173.0,198.0,38.0,,480.5,hadlock_hc_ac_fl,542.5
with_bpd,154,173.0,198.0,38.0,53.0,482.2,hadlock_bpd_hc_ac_fl,542.5
no_bpd,154,178.2,203.9,39.1,,519.2,hadlock_hc_ac_fl,574.5
with_bpd,154,178.2,203.9,39.1,54.6,520.5,hadlock_bpd_hc_ac_fl,574.5
no_bpd,157,172.8,197.0,37.9,,477.5,hadlock_hc_ac_fl,540.0
with_bpd,157,172.8,197.0,37.9,52.9,479.5,hadlock_bpd_hc_ac_fl,540.0
no_bpd,157,178.1,203.1,39.1,,517.8,hadlock_hc_ac_fl,572.6
with_bpd,157,178.1,203.1,39.1,54.5,519.4,hadlock_bpd_hc_ac_fl,572.6
no_bpd,157,183.5,209.2,40.2,,560.1,hadlock_hc_ac_fl,608.2
with_bpd,157,183.5,209.2,40.2,56.1,561.1,hadlock_bpd_hc_ac_fl,608.2
no_bpd,168,191.1,215.3,41.7,,620.1,hadlock_hc_ac_fl,658.0
with_bpd,168,191.1,215.3,41.7,58.2,621.6,hadlock_bpd_hc_ac_fl,658.0
no_bpd,168,197.0,222.0,43.0,,675.5,hadlock_hc_ac_fl,704.6
with_bpd,168,197.0,222.0,43.0,60.0,676.5,hadlock_bpd_hc_ac_fl,704.6
no_bpd,168,202.9,228.7,44.3,,735.1,hadlock_hc_ac_fl,755.1
with_bpd,168,202.9,228.7,44.3,61.8,735.6,hadlock_bpd_hc_ac_fl,755.1
no_bpd,182,212.4,236.7,46.6,,837.9,hadlock_hc_ac_fl,838.3
with_bpd,182,212.4,236.7,46.6,64.0,838.2,hadlock_bpd_hc_ac_fl,838.3
no_bpd,182,219.0,244.0,48.0,,916.2,hadlock_hc_ac_fl,907.2
with_bpd,182,219.0,244.0,48.0,66.0,916.1,hadlock_bpd_hc_ac_fl,907.2
no_bpd,182,225.6,251.3,49.4,,1000.5,hadlock_hc_ac_fl,982.5
with_bpd,182,225.6,251.3,49.4,68.0,999.8,hadlock_bpd_hc_ac_fl,982.5
no_bpd,196,232.8,256.1,50.4,,1080.2,hadlock_hc_ac_fl,1061.7
with_bpd,196,232.8,256.1,50.4,69.8,1080.8,hadlock_bpd_hc_ac_fl,1061.7
no_bpd,196,240.0,264.0,52.0,,1186.9,hadlock_hc_ac_fl,1159.1
with_bpd,196,240.0,264.0,52.0,72.0,1187.5,hadlock_bpd_hc_ac_fl,1159.1
no_bpd,196,247.2,271.9,53.6,,1302.0,hadlock_hc_ac_fl,1265.7
with_bpd,196,247.2,271.9,53.6,74.2,1302.6,hadlock_bpd_hc_ac_fl,1265.7
no_bpd,210,252.2,272.6,54.3,,1360.9,hadlock_hc_ac_fl,1325.4
with_bpd,210,252.2,272.6,54.3,74.7,1363.1,hadlock_bpd_hc_ac_fl,1325.4
no_bpd,210,260.0,281.0,56.0,,1498.4,hadlock_hc_ac_fl,1456.9
with_bpd,210,260.0,281.0,56.0,77.0,1500.9,hadlock_bpd_hc_ac_fl,1456.9
no_bpd,210,267.8,289.4,57.7,,1646.4,hadlock_hc_ac_fl,1600.8
with_bpd,210,267.8,289.4,57.7,79.3,1649.5,hadlock_bpd_hc_ac_fl,1600.8
no_bpd,213,256.1,275.7,55.4,,1430.6,hadlock_hc_ac_fl,1384.8
with_bpd,213,256.1,275.7,55.4,75.5,1432.7,hadlock_bpd_hc_ac_fl,1384.8
no_bpd,213,264.1,284.2,57.1,,1575.5,hadlock_hc_ac_fl,1525.1
with_bpd,213,264.1,284.2,57.1,77.9,1578.4,hadlock_bpd_hc_ac_fl,1525.1
no_bpd,213,272.0,292.7,58.8,,1730.6,hadlock_hc_ac_fl,1677.1
with_bpd,213,272.0,292.7,58.8,80.2,1734.0,hadlock_bpd_hc_ac_fl,1677.1
no_bpd,224,270.6,287.1,59.2,,1704.3,hadlock_hc_ac_fl,1628.1
with_bpd,224,270.6,287.1,59.2,78.6,1706.7,hadlock_bpd_hc_ac_fl,1628.1
no_bpd,224,279.0,296.0,61.0,,1878.1,hadlock_hc_ac_fl,1798.9
with_bpd,224,279.0,296.0,61.0,81.0,1880.7,hadlock_bpd_hc_ac_fl,1798.9
no_bpd,224,287.4,304.9,62.8,,2064.9,hadlock_hc_ac_fl,1984.8
with_bpd,224,287.4,304.9,62.8,83.4,2068.1,hadlock_bpd_hc_ac_fl,1984.8
no_bpd,227,274.6,289.8,60.0,,1777.1,hadlock_hc_ac_fl,1699.4
with_bpd,227,274.6,289.8,60.0,79.4,1779.9,hadlock_bpd_hc_ac_fl,1699.4
no_bpd,227,283.1,298.8,61.9,,1960.8,hadlock_hc_ac_fl,1878.6
with_bpd,227,283.1,298.8,61.9,81.9,1964.5,hadlock_bpd_hc_ac_fl,1878.6
no_bpd,227,291.6,307.7,63.7,,2154.6,hadlock_hc_ac_fl,2072.8
with_bpd,227,291.6,307.7,63.7,84.3,2159.0,hadlock_bpd_hc_ac_fl,2072.8
no_bpd,238,289.1,299.7,63.1,,2066.4,hadlock_hc_ac_fl,1980.4
with_bpd,238,289.1,299.7,63.1,82.5,2072.4,hadlock_bpd_hc_ac_fl,1980.4
no_bpd,238,298.0,309.0,65.0,,2277.2,hadlock_hc_ac_fl,2191.8
with_bpd,238,298.0,309.0,65.0,85.0,2284.1,hadlock_bpd_hc_ac_fl,2191.8
no_bpd,238,306.9,318.3,67.0,,2506.5,hadlock_hc_ac_fl,2419.7
with_bpd,238,306.9,318.3,67.0,87.6,2515.7,hadlock_bpd_hc_ac_fl,2419.7
no_bpd,252,307.5,311.4,66.9,,2468.5,hadlock_hc_ac_fl,2378.8
with_bpd,252,307.5,311.4,66.9,86.3,2480.6,hadlock_bpd_hc_ac_fl,2378.8
no_bpd,252,317.0,321.0,69.0,,2723.1,hadlock_hc_ac_fl,2631.5
with_bpd,252,317.0,321.0,69.0,89.0,2738.6,hadlock_bpd_hc_ac_fl,2631.5
no_bpd,252,326.5,330.6,71.1,,2995.1,hadlock_hc_ac_fl,2899.2
with_bpd,252,326.5,330.6,71.1,91.7,3014.8,hadlock_bpd_hc_ac_fl,2899.2
no_bpd,257,314.8,315.2,68.0,,2622.0,hadlock_hc_ac_fl,2542.9
with_bpd,257,314.8,315.2,68.0,87.4,2635.3,hadlock_bpd_hc_ac_fl,2542.9
no_bpd,257,324.5,324.9,70.1,,2890.5,hadlock_hc_ac_fl,2809.1
with_bpd,257,324.5,324.9,70.1,90.1,2907.1,hadlock_bpd_hc_ac_fl,2809.1
no_bpd,257,334.2,334.7,72.2,,3177.4,hadlock_hc_ac_fl,3089.3
with_bpd,257,334.2,334.7,72.2,92.8,3198.1,hadlock_bpd_hc_ac_fl,3089.3
no_bpd,266,327.9,322.0,69.8,,2907.0,hadlock_hc_ac_fl,2848.8
with_bpd,266,327.9,322.0,69.8,89.2,2920.5,hadlock_bpd_hc_ac_fl,2848.8
no_bpd,266,338.0,332.0,72.0,,3205.7,hadlock_hc_ac_fl,3137.0
with_bpd,266,338.0,332.0,72.0,92.0,3223.4,hadlock_bpd_hc_ac_fl,3137.0
no_bpd,266,348.1,342.0,74.2,,3523.3,hadlock_hc_ac_fl,3432.9
with_bpd,266,348.1,342.0,74.2,94.8,3546.5,hadlock_bpd_hc_ac_fl,3432.9
no_bpd,280,352.1,331.7,70.8,,3381.3,hadlock_hc_ac_fl,3395.7
with_bpd,280,352.1,331.7,70.8,93.1,3423.2,hadlock_bpd_hc_ac_fl,3395.7
no_bpd,280,363.0,342.0,73.0,,3727.5,hadlock_hc_ac_fl,3695.6
with_bpd,280,363.0,342.0,73.0,96.0,3780.2,hadlock_bpd_hc_ac_fl,3695.6
no_bpd,280,373.9,352.3,75.2,,4094.3,hadlock_hc_ac_fl,3983.8
with_bpd,280,373.9,352.3,75.2,98.9,4160.4,hadlock_bpd_hc_ac_fl,3983.8
