tier,standard,note,ga_weeks,stratum,efw_g,ac_cm,hc_cm,centile,expect_centile,expect_efw_g,expect_delta,tolerance
1,nichd,published knot,15,white,92,,,,3,,,0.05
1,nichd,published knot,15,white,94,,,,5,,,0.05
1,nichd,published knot,15,white,98,,,,10,,,0.05
1,nichd,published knot,15,white,113,,,,50,,,0.05
1,nichd,published knot,15,white,129,,,,90,,,0.05
1,nichd,published knot,15,white,135,,,,95,,,0.05
1,nichd,published knot,15,white,138,,,,97,,,0.05
1,nichd,published knot,16,white,116,,,,3,,,0.05
1,nichd,published knot,16,white,119,,,,5,,,0.05
1,nichd,published knot,16,white,124,,,,10,,,0.05
1,nichd,published knot,16,white,143,,,,50,,,0.05
1,nichd,published knot,16,white,164,,,,90,,,0.05
1,nichd,published knot,16,white,170,,,,95,,,0.05
1,nichd,published knot,16,white,175,,,,97,,,0.05
1,nichd,published knot,17,white,146,,,,3,,,0.05
1,nichd,published knot,17,white,150,,,,5,,,0.05
1,nichd,published knot,17,white,156,,,,10,,,0.05
1,nichd,published knot,17,white,179,,,,50,,,0.05
1,nichd,published knot,17,white,205,,,,90,,,0.05
1,nichd,published knot,17,white,213,,,,95,,,0.05
1,nichd,published knot,17,white,219,,,,97,,,0.05
1,nichd,published knot,18,white,181,,,,3,,,0.05
1,nichd,published knot,18,white,186,,,,5,,,0.05
1,nichd,published knot,18,white,193,,,,10,,,0.05
1,nichd,published knot,18,white,222,,,,50,,,0.05
1,nichd,published knot,18,white,255,,,,90,,,0.05
1,nichd,published knot,18,white,265,,,,95,,,0.05
1,nichd,published knot,18,white,272,,,,97,,,0.05
1,nichd,published knot,19,white,222,,,,3,,,0.05
1,nichd,published knot,19,white,228,,,,5,,,0.05
1,nichd,published knot,19,white,237,,,,10,,,0.05
1,nichd,published knot,19,white,273,,,,50,,,0.05
1,nichd,published knot,19,white,313,,,,90,,,0.05
1,nichd,published knot,19,white,325,,,,95,,,0.05
1,nichd,published knot,19,white,334,,,,97,,,0.05
1,nichd,published knot,20,white,271,,,,3,,,0.05
1,nichd,published knot,20,white,278,,,,5,,,0.05
1,nichd,published knot,20,white,289,,,,10,,,0.05
1,nichd,published knot,20,white,332,,,,50,,,0.05
1,nichd,published knot,20,white,381,,,,90,,,0.05
1,nichd,published knot,20,white,396,,,,95,,,0.05
1,nichd,published knot,20,white,407,,,,97,,,0.05
1,nichd,published knot,21,white,327,,,,3,,,0.05
1,nichd,published knot,21,white,335,,,,5,,,0.05
1,nichd,published knot,21,white,349,,,,10,,,0.05
1,nichd,published knot,21,white,401,,,,50,,,0.05
1,nichd,published knot,21,white,460,,,,90,,,0.05
1,nichd,published knot,21,white,479,,,,95,,,0.05
1,nichd,published knot,21,white,491,,,,97,,,0.05
1,nichd,published knot,22,white,391,,,,3,,,0.05
1,nichd,published knot,22,white,401,,,,5,,,0.05
1,nichd,published knot,22,white,417,,,,10,,,0.05
1,nichd,published knot,22,white,479,,,,50,,,0.05
1,nichd,published knot,22,white,551,,,,90,,,0.05
1,nichd,published knot,22,white,573,,,,95,,,0.05
1,nichd,published knot,22,white,588,,,,97,,,0.05
1,nichd,published knot,23,white,464,,,,3,,,0.05
1,nichd,published knot,23,white,476,,,,5,,,0.05
1,nichd,published knot,23,white,495,,,,10,,,0.05
1,nichd,published knot,23,white,569,,,,50,,,0.05
1,nichd,published knot,23,white,654,,,,90,,,0.05
1,nichd,published knot,23,white,681,,,,95,,,0.05
1,nichd,published knot,23,white,698,,,,97,,,0.05
1,nichd,published knot,24,white,546,,,,3,,,0.05
1,nichd,published knot,24,white,560,,,,5,,,0.05
1,nichd,published knot,24,white,583,,,,10,,,0.05
1,nichd,published knot,24,white,671,,,,50,,,0.05
1,nichd,published knot,24,white,771,,,,90,,,0.05
1,nichd,published knot,24,white,803,,,,95,,,0.05
1,nichd,published knot,24,white,824,,,,97,,,0.05
1,nichd,published knot,25,white,638,,,,3,,,0.05
1,nichd,published knot,25,white,655,,,,5,,,0.05
1,nichd,published knot,25,white,682,,,,10,,,0.05
1,nichd,published knot,25,white,785,,,,50,,,0.05
1,nichd,published knot,25,white,903,,,,90,,,0.05
1,nichd,published knot,25,white,940,,,,95,,,0.05
1,nichd,published knot,25,white,964,,,,97,,,0.05
1,nichd,published knot,26,white,741,,,,3,,,0.05
1,nichd,published knot,26,white,760,,,,5,,,0.05
1,nichd,published knot,26,white,791,,,,10,,,0.05
1,nichd,published knot,26,white,911,,,,50,,,0.05
1,nichd,published knot,26,white,1050,,,,90,,,0.05
1,nichd,published knot,26,white,1092,,,,95,,,0.05
1,nichd,published knot,26,white,1121,,,,97,,,0.05
1,nichd,published knot,27,white,854,,,,3,,,0.05
1,nichd,published knot,27,white,876,,,,5,,,0.05
1,nichd,published knot,27,white,912,,,,10,,,0.05
1,nichd,published knot,27,white,1052,,,,50,,,0.05
1,nichd,published knot,27,white,1212,,,,90,,,0.05
1,nichd,published knot,27,white,1262,,,,95,,,0.05
1,nichd,published knot,27,white,1295,,,,97,,,0.05
1,nichd,published knot,28,white,977,,,,3,,,0.05
1,nichd,published knot,28,white,1003,,,,5,,,0.05
1,nichd,published knot,28,white,1045,,,,10,,,0.05
1,nichd,published knot,28,white,1205,,,,50,,,0.05
1,nichd,published knot,28,white,1391,,,,90,,,0.05
1,nichd,published knot,28,white,1449,,,,95,,,0.05
1,nichd,published knot,28,white,1487,,,,97,,,0.05
